state,x,y
Andhra Pradesh,-94,-205
Arunachal Pradesh,293,133
Assam,248,84
Bihar,76,62
Chhattisgarh,-11,-44
Goa,-196,-200
Gujarat,-243,-8
Haryana,-145,155
Himachal Pradesh,-120,225
Jharkhand,62,5
Karnataka,-158,-225
Kerala,-141,-315
Madhya Pradesh,-104,0
Maharashtra,-172,-98
Manipur,272,38
Meghalaya,213,57
Mizoram,246,1
Nagaland,286,73
Odisha,51,-67
Punjab,-165,195
Rajasthan,-225,87
Sikkim,144,110
Tamil Nadu,-96,-301
Telangana,-83,-138
Tripura,219,8
Uttar Pradesh,-56,100
Uttarakhand,-80,186
West Bengal,124,-11
Andaman and Nicobar Islands,248,-267
Chandigarh,-131,195
Dadra and Nagar Haveli and Daman and Diu,-269,-66
Delhi,-124,137
Jammu and Kashmir,-180,280
Ladakh,-112,296
Lakshadweep,-229,-318
Puducherry,-61,-285
